Noise,acc,mse,mse_lrr,mse_krr,acc_pca,mse_pca,mse_pca_lrr,mse_pca_krr
0.1,0.9892,18.75800676020408,72.57821594387755,71.5290125,0.9741,21.72385752551021,61.50333545918367,63.416369897959186
0.15,0.9892,18.42664642857143,64.83720420918367,73.47635650510205,0.9602,24.3133125,60.91834770408163,60.82603609693878
0.2,0.9874,18.53653329081633,86.06162423469388,70.91021428571429,0.9367,25.744248341836734,60.6547411989796,57.13015612244898
0.25,0.9882,18.5075193877551,72.0498929846939,72.11814528061224,0.9067,27.974060841836735,60.19731505102041,51.461159183673466
0.3,0.989,18.743128443877552,73.19592181122448,71.43074081632653,0.8791,28.432659821428572,60.074928954081635,44.81221211734694
0.35,0.9889,18.6720493622449,62.32197704081632,72.6793424744898,0.8037,30.723057142857144,59.38987091836735,35.720094387755104
0.4,0.9894,18.44114132653061,61.82973698979592,72.02028724489796,0.7585,32.464881377551016,58.992658035714285,27.318750892857143
0.45,0.9885,18.648327040816326,68.25512704081633,71.58405727040817,0.7242,33.13030790816327,58.73447232142857,22.278240816326534
0.5,0.9881,18.54433724489796,70.76327066326532,70.35058711734693,0.7385,33.208884311224494,58.80908227040817,21.16508992346939
0.55,0.9847,18.547801530612244,64.58070382653061,72.64271096938775,0.6681,34.83117959183674,58.1790668367347,20.679631377551022
0.6,0.9876,18.66717168367347,67.92319540816327,71.62744579081632,0.6457,34.689798341836735,58.095321811224494,20.71553762755102
0.65,0.9889,18.56297793367347,70.2135655612245,71.64258380102041,0.6098,35.62011964285715,57.773545408163265,20.737462372448977
0.7,0.9884,18.620129209183673,74.74686670918366,72.8368642857143,0.576,35.867854209183676,57.57687066326531,20.651195408163264
0.75,0.9886,18.57552066326531,72.97828698979592,70.54599464285715,0.5787,36.5503887755102,57.36397410714285,20.453767091836735
0.8,0.9894,18.550066964285715,72.07350994897959,69.67261658163265,0.5411,36.27721058673469,57.07285625,20.807269770408162
0.85,0.9891,18.56903762755102,64.82287500000001,70.95970727040816,0.4686,39.111515433673475,56.121746428571434,20.831642219387756
0.9,0.989,18.46488711734694,71.9006868622449,70.92190522959183,0.4159,39.384811734693876,55.49221977040816,20.652060841836732
