Lambda,acc,mse_nn,mse_lrr,mse_krr
1,0.976,49.2462387755102,64.21902168367347,74.32582920918368
2,0.9775,49.53072959183674,68.83099770408164,77.9637149234694
3,0.9749,45.50487091836735,62.311101913265304,77.54452602040817
4,0.9785,43.6464056122449,62.15796326530613,75.25290395408163
5,0.9719,43.68050522959184,61.19200548469387,71.79293801020408
6,0.9776,46.031140816326534,68.56698073979592,73.69705089285713
7,0.9749,42.26922576530612,61.63074145408163,75.2656418367347
8,0.9823,41.70021224489796,63.388394005102036,73.5768144132653
9,0.9771,44.04179285714285,62.51182946428572,73.11372653061225
10,0.9765,43.20569591836734,69.02078966836736,75.22909642857142
11,0.9769,46.02799489795918,68.52856734693879,75.88724145408163
12,0.9781,41.8678661989796,60.97582487244897,75.06004859693877
13,0.978,46.95581887755102,69.73221798469388,77.97155089285714
14,0.9806,43.68161415816326,66.64812015306123,77.75431632653061
15,0.9784,44.7813049744898,61.72803303571428,75.881800127551
16,0.9792,44.216866836734695,61.273294642857145,75.79044617346939
17,0.9752,41.94046033163266,66.59697334183673,75.11659693877552
18,0.9802,42.879556760204075,64.16829540816326,74.63923864795919
19,0.9787,40.404645790816325,59.33803533163265,75.66283137755102
20,0.9759,43.839022321428565,68.09722321428572,76.26616198979592
21,0.9787,42.858016198979584,57.234203954081636,74.4347100765306
22,0.9784,40.860872321428566,61.17339885204082,75.56117410714285
23,0.9737,42.97571326530612,60.0694656887755,73.31153660714287
24,0.9803,38.52356224489796,62.73920548469388,75.34522538265306
25,0.9783,41.15286096938776,60.75068992346939,72.27838826530613
26,0.9745,44.06325765306123,68.33942704081632,75.91860395408163
27,0.9817,41.16028405612245,61.285284311224494,75.16662397959183
28,0.9794,39.46734477040816,62.47262385204082,74.38408852040816
29,0.9779,43.48309642857143,62.0504488520408,75.43535012755103
30,0.9774,41.376047193877554,61.78167219387755,72.35688418367346
31,0.9757,40.94683176020408,62.573691198979596,76.12851288265307
32,0.9768,44.60153852040816,70.47704145408163,72.59679795918368
33,0.979,40.694336989795914,61.2099418367347,72.30419030612245
34,0.9784,40.24443137755102,60.898737882653066,76.1601875
35,0.9785,43.8834963010204,63.4834706632653,76.85686364795917
36,0.9776,43.6952950255102,58.871994132653064,75.66181900510203
37,0.9771,42.49372729591837,62.18755153061224,75.06860765306124
38,0.9778,42.9838543367347,64.368662372449,74.24310191326532
39,0.9758,41.99114413265306,60.17266951530612,75.82191492346938
40,0.9736,46.07920943877551,68.24700510204082,76.11100471938775
41,0.97,42.42101224489795,66.45307142857143,73.51177448979591
42,0.9755,43.03006785714285,67.9399281887755,72.78955459183672
43,0.9761,44.47362767857142,65.96118099489796,74.65739451530612
44,0.9813,39.99265714285715,63.044819515306116,75.8508905612245
45,0.9626,43.036243622448985,61.90339285714286,75.7252575255102
46,0.9758,45.90913392857143,67.12281275510203,74.5819431122449
47,0.9714,45.493520790816326,64.26178048469389,76.98888737244897
48,0.9779,45.89848647959183,69.96260357142857,75.73680765306123
49,0.9784,39.35298201530612,61.601855229591834,73.8132306122449
50,0.9813,40.30075663265306,58.9421868622449,72.56662270408164
51,0.9741,44.790117602040816,66.71284030612244,75.00034744897958
52,0.9742,43.692433290816325,63.4010405612245,74.26299719387755
53,0.9752,39.960628826530616,65.04496301020409,74.74088928571429
54,0.9795,39.35094349489796,60.60772193877551,72.64486352040817
55,0.9655,43.02752232142857,64.21948979591836,74.35416517857144
56,0.983,41.16767155612244,59.69911734693877,74.58284846938776
57,0.9758,42.12519132653062,60.07926849489795,74.88747257653061
58,0.974,41.02287895408163,63.4658349489796,70.29859221938776
59,0.9798,40.441420535714286,61.019813520408164,74.804
60,0.9802,42.66306709183674,61.116060841836735,72.93889362244897
61,0.9781,41.427134311224485,62.53946135204082,76.49649693877551
62,0.9605,40.19080459183673,60.272649107142854,75.54171237244898
63,0.9717,44.3637987244898,73.76501147959183,77.68498864795917
64,0.9745,41.259753188775505,60.896147321428565,74.51340599489797
65,0.9818,39.002571811224485,59.6948918367347,74.52837602040816
66,0.9725,43.60533163265306,62.318999489795914,76.17086020408163
67,0.9778,44.6655931122449,62.1491213010204,77.70524693877552
68,0.9807,43.383980739795916,69.16566224489796,73.23993737244899
69,0.9734,42.1641987244898,67.23510382653062,77.17291964285715
70,0.9804,40.76275752551021,65.34210612244898,74.48432155612244
71,0.9787,42.0820969387755,64.84351594387756,77.1118286989796
72,0.9773,41.86742091836735,60.921502295918366,77.82022653061225
73,0.9758,43.88239719387755,66.42239196428572,78.21648048469388
74,0.9741,42.90134897959184,61.83901887755102,73.9037519132653
75,0.9726,42.83269846938776,68.80898954081631,73.83565765306123
76,0.9764,41.46135625,63.19533507653062,74.53360548469387
77,0.9756,42.952834183673474,59.843700892857136,73.72226875
78,0.9745,44.02098341836734,61.0090756377551,77.3741137755102
79,0.9783,40.92755471938775,62.2976969387755,75.08954323979592
80,0.9797,39.781935841836734,63.75214145408163,72.90843418367345
81,0.9761,41.61657793367346,67.91488125,72.46979553571427
82,0.9797,42.14825994897959,60.684285331632665,75.78507487244897
83,0.982,43.538426275510204,64.05113915816327,76.70160650510205
84,0.9767,41.904153571428566,64.50412219387755,77.03636415816327
85,0.9794,38.647446938775516,60.501033035714286,74.37051415816326
86,0.9812,39.58533864795918,57.94181658163265,74.1036150510204
87,0.9779,45.17952831632654,70.91749247448979,75.37630892857143
88,0.975,47.63410140306122,62.934255102040815,75.89309234693879
89,0.9775,40.66853367346938,59.325394387755104,71.67142487244898
90,0.9807,40.49392283163265,61.71409948979592,73.49605280612245
100,0.9714,41.88729642857143,61.01757155612245,77.08025331632653
